Field name,Data Type,Description,Sample
ar_id,String,The technical field to mask the agreement contract between bank and customer. Identifier  - primary key for the table. Generate from Natural Key ,39f856df-6aad-5ee8-9129-aaaeafaab000
unq_id_src_stm,String,The contract no in T24 system which generated for each arrangement. It may be an account with 14 numbers or started with LD/MM.,1.46E+13
ip_id,String,The technical field to mask the customer code of customer. Generate from Natural Key.,40c3df85-2c63-5cd9-a6f1-23c461b7a000
cst_code,String,The customer code which generated in T24 system for whom own the Timedeposit Arrangement.,30000000
src_eff_dt,String,The begin date in term of contract. If the arrangement has not been rollovered then src_eff_dt the same as src_orig_eff_dt,27/06/2024
src_orig_eff_dt,String,The original begin date in term of contract. If the arrangement has not been rollovered then src_eff_dt the same as src_orig_eff_dt.,27/06/2024
src_mat_dt,String,The end date in term of contract.  If the arrangement has not been rollovered then src_mat_dt the same as src_orig_mat_dt.,27/06/2024
src_orig_mat_dt,String,The original end date in term of contract. If the arrangement has not been rollovered then src_mat_dt the same as src_orig_mat_dt,27/06/2024
gl_tenor,String,"Identify the type of tenor of the arrangement. Include the values:
LT: long term period
MT: mid term period
ST: short term period",ST
ar_bsn_line,String,The bizline of customers who holding the contract. Classify customers into such ecomonic groups: RETAIL/SME/TREAS…,RETAIL
prgm_code ,String,The campaign for each period would be identified by Program code. IT contains Numbers and Alphabets,-1
policy_cd,String,The policy for each period or for each group of customer would be identified by policy code. IT contains Numbers and Alphabets,-1
br_code,String,The unique code of TCB branch which generated on T24 system and the arrangement was recorded in that branch. It contains VN001…,VN0010000
pd_code,String,The unique code of TCB's product which generated on T24 system and the arrangement was inputted product code onto. It contains numbers.,184013
pd_nm,String,The commercial name of product code which generated on T24 system.,Tai khoan tiet kiem Phat loc Online
pd_lvl_1_nm,String,Name of the first level on CF's product tree. This classifies product into these groups: Lending/Deposit/Bond/Banca/Card…,Deposit
pd_lvl_2_nm,String,Name of the second level on CF's product tree. This classifies group of product into sub-groups. Example: Deposit devided into CASA/Term Deposit & Valuable papers issued to customers,RETAIL_Term_Deposit
pd_lvl_3_nm,String,Name of the third level on CF's product tree. This classifies sub-group of product into sub-sub-group of products. Example: Term Deposit devided into Tiet_Kiem_thuong/Tiet_Kiem_Gui_Gop/Tiet_Kiem_Linh_Hoat/Normal_Term_Deposit/Marginal_Account…,TD Normal
pd_lvl_4_nm,String,Name of the fourth level on CF's product tree. This classifies sub-sub-group of product into detail products. Example: Tiet_Kiem_thuong devided into Tiet_Kiem_Thuong_Tai_Quay/Tiet_Kiem_Thuong_Online,TD Normal_Online
pd_lvl_5_nm,String,Name of the fifth level on CF's product tree. Due to the requirement of business to devide group of product into more detail.,Tien gui Phat Loc Online
pd_lvl_6_nm,String,Name of the sixth level on CF's product tree. Due to the requirement of business to devide group of product into more detail.,Tien gui Phat Loc Online
pd_lvl_7_nm,String,Name of the seventh level on CF's product tree. Due to the requirement of business to devide group of product into more detail.,Tien gui Phat Loc Online
sctr_code,String,The sector code of customer generated in T24 system which classifies customers into economic group like bizline.,4024
cgy_code,String,The unique code to classify the group of product which generated on T24 system and the arrangement. It contains numbers.,3017
